21 12
W  1.5 0
W  4 0.5
B  6 0
W  7 0
W  10 0
B  14 0
W  16 0.5
W  18.5 0
W  1.5 1.5
W  6 1.5
W  7.5 1.5
B  9.5 1
B  11 1
W  12.5 1
W  14 1.5
W  19 1
B  4 2.5
B  9 2
W  18 2
W  20 2.5
B  5 3.5
B  8.5 3
W  13 3
B  14.5 3
B  16.5 3.5
W  19 3
W  0.5 4.5
B  7 4
W  18.5 4.5
B  4 5
B  7 5
B  9.5 5
B  11.5 5
B  16 5
W  1 6
B  14 6
W  18 6.5
W  1.5 7.5
B  7 7
B  14 7
W  19 7
B  4 8.5
W  8 8
B  10 8
W  12 8
B  16 8
W  20 8
W  3 9.5
W  6.5 9.5
W  13 9.5
W  18 9
W  0.5 10.5
W  4 10
W  8 10
W  10 10
W  16 10.5
W  19 10.5
W  3.5 11
B  6 11
W  10 11
W  13 11
B  14 11
W  17.5 11
